Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,20.959999,21.209999,19.030001,19.34,19.34,0
11/2/2018,18.52,21.610001,18.049999,19.51,19.51,0
11/5/2018,20.58,20.870001,19.639999,19.959999,19.959999,0
11/6/2018,19.84,20.6,19.690001,19.91,19.91,0
11/7/2018,18.030001,18.049999,16.33,16.360001,16.360001,0
11/8/2018,16.18,17.200001,16.09,16.719999,16.719999,0
11/9/2018,16.870001,18.41,16.84,17.360001,17.360001,0
11/12/2018,17.26,20.709999,17.25,20.450001,20.450001,0
11/13/2018,19.450001,21.25,19.110001,20.02,20.02,0
11/14/2018,20.52,22.360001,19.299999,21.25,21.25,0
11/15/2018,20.41,22.969999,19.940001,19.98,19.98,0
11/16/2018,20.040001,21.360001,18.1,18.139999,18.139999,0
11/19/2018,18.780001,20.99,18.52,20.1,20.1,0
11/20/2018,20.76,23.809999,20.370001,22.48,22.48,0
11/21/2018,21.66,22.309999,20.110001,20.799999,20.799999,0
11/23/2018,21.23,22.65,20.65,21.52,21.52,0
11/26/2018,20.780001,20.799999,18.67,18.9,18.9,0
11/27/2018,19.41,19.93,18.700001,19.02,19.02,0
11/28/2018,18.870001,19.379999,18.18,18.49,18.49,0
11/29/2018,18.65,20.48,18.59,18.790001,18.790001,0
11/30/2018,19.18,19.91,18.030001,18.07,18.07,0
12/3/2018,16.040001,17.280001,15.94,16.440001,16.440001,0
12/4/2018,16.84,21.940001,16.26,20.74,20.74,0
12/6/2018,23.530001,25.940001,20.940001,21.190001,21.190001,0
12/7/2018,22.42,24.709999,19.9,23.23,23.23,0
12/10/2018,23.950001,25.940001,22.5,22.639999,22.639999,0
12/11/2018,22.959999,23.6,21.389999,21.76,21.76,0
12/12/2018,21.91,21.91,20.5,21.459999,21.459999,0
12/13/2018,21,21.57,20.34,20.65,20.65,0
12/14/2018,21.57,22.469999,20.950001,21.629999,21.629999,0
12/17/2018,22.360001,25.879999,21.969999,24.52,24.52,0
12/18/2018,24.68,26.139999,23.639999,25.58,25.58,0
12/19/2018,25.15,26.639999,22.5,25.58,25.58,0
12/20/2018,26.09,30.299999,24.68,28.379999,28.379999,0
12/21/2018,28.24,31.35,25.709999,30.110001,30.110001,0
12/24/2018,29.290001,36.099998,29.16,36.07,36.07,0
12/26/2018,35.5,36.200001,29.59,30.41,30.41,0
12/27/2018,31.200001,33.799999,29.66,29.959999,29.959999,0
12/28/2018,29.969999,31.049999,27.43,28.34,28.34,0
12/31/2018,27.59,27.639999,25.33,25.42,25.42,0
1/2/2019,27.540001,28.530001,23.049999,23.219999,23.219999,0
1/3/2019,25.68,26.6,24.049999,25.450001,25.450001,0
1/4/2019,24.360001,24.48,21.190001,21.379999,21.379999,0
1/7/2019,22.059999,22.709999,20.91,21.4,21.4,0
1/8/2019,20.959999,22.030001,20.09,20.469999,20.469999,0
1/9/2019,20.440001,22.799999,19.48,19.98,19.98,0
1/10/2019,20.98,21.32,19.290001,19.5,19.5,0
1/11/2019,19.68,20.16,18.120001,18.190001,18.190001,0
1/14/2019,19.84,20.27,18.700001,19.07,19.07,0
1/15/2019,18.530001,19.200001,17.98,18.6,18.6,0
1/16/2019,18.08,19.040001,17.76,19.040001,19.040001,0
1/17/2019,19.51,19.719999,17.85,18.059999,18.059999,0
1/18/2019,17.799999,18.18,17.17,17.799999,17.799999,0
1/22/2019,18.530001,21.15,18.200001,20.799999,20.799999,0
1/23/2019,20.85,22.02,19.469999,19.52,19.52,0
1/24/2019,19.690001,20.25,18.629999,18.889999,18.889999,0
1/25/2019,18.43,18.459999,17.309999,17.42,17.42,0
1/28/2019,18.559999,20.42,18.42,18.870001,18.870001,0
1/29/2019,19.450001,19.93,18.42,19.129999,19.129999,0
1/30/2019,19.15,19.309999,17.540001,17.66,17.66,0
1/31/2019,17.389999,17.719999,16.540001,16.57,16.57,0
2/1/2019,16.629999,16.83,16.08,16.139999,16.139999,0
2/4/2019,16.719999,16.73,15.6,15.73,15.73,0
2/5/2019,15.79,15.94,15.04,15.57,15.57,0
2/6/2019,15.44,15.87,15.09,15.38,15.38,0
2/7/2019,15.66,17.889999,15.51,16.370001,16.370001,0
2/8/2019,16.809999,17.629999,15.62,15.72,15.72,0
2/11/2019,16.17,16.5,15.34,15.97,15.97,0
2/12/2019,15.23,15.65,14.95,15.43,15.43,0
2/13/2019,15.46,15.91,15,15.65,15.65,0
2/14/2019,15.61,17.27,15.3,16.219999,16.219999,0
2/15/2019,16.82,16.82,14.79,14.91,14.91,0
2/19/2019,15.65,16.16,14.64,14.88,14.88,0
2/20/2019,14.92,15.19,13.99,14.02,14.02,0
2/21/2019,14,15.17,13.85,14.46,14.46,0
2/22/2019,14.46,14.47,13.51,13.51,13.51,0
