underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2019-01-02,VIXW,2019-01-02,10.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,21,
^VIX,2019-01-02,VIXW,2019-01-02,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,3,
^VIX,2019-01-02,VIXW,2019-01-02,10.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,0,
^VIX,2019-01-02,VIXW,2019-01-02,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,0,
^VIX,2019-01-02,VIXW,2019-01-02,11.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,0,
^VIX,2019-01-02,VIXW,2019-01-02,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,0,
^VIX,2019-01-02,VIXW,2019-01-02,11.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,0,
^VIX,2019-01-02,VIXW,2019-01-02,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,7,
^VIX,2019-01-02,VIXW,2019-01-02,12.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,33,
^VIX,2019-01-02,VIXW,2019-01-02,12.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,23.8700,23.8700,0.0000,23.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,23.2200,23.2200,0.0000,0,
