underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2018-12-03,VIX,2018-12-05,10.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,46,
^VIX,2018-12-03,VIX,2018-12-05,10.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,10.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,10.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,11.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,11.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,11.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,11.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,1,
^VIX,2018-12-03,VIX,2018-12-05,12.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,20,
^VIX,2018-12-03,VIX,2018-12-05,12.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,12.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,12.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,400,
^VIX,2018-12-03,VIX,2018-12-05,13.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,2,
^VIX,2018-12-03,VIX,2018-12-05,13.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,1,
^VIX,2018-12-03,VIX,2018-12-05,13.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,13.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,0,
^VIX,2018-12-03,VIX,2018-12-05,14.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,17,
^VIX,2018-12-03,VIX,2018-12-05,14.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,11,
^VIX,2018-12-03,VIX,2018-12-05,14.500,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,2,
^VIX,2018-12-03,VIX,2018-12-05,14.500,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,26,
^VIX,2018-12-03,VIX,2018-12-05,15.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,43,
^VIX,2018-12-03,VIX,2018-12-05,15.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,60,
^VIX,2018-12-03,VIX,2018-12-05,16.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,55,
^VIX,2018-12-03,VIX,2018-12-05,16.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,1572,
^VIX,2018-12-03,VIX,2018-12-05,17.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,106,
^VIX,2018-12-03,VIX,2018-12-05,17.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,1741,
^VIX,2018-12-03,VIX,2018-12-05,18.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,285,
^VIX,2018-12-03,VIX,2018-12-05,18.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,7170,
^VIX,2018-12-03,VIX,2018-12-05,19.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,1861,
^VIX,2018-12-03,VIX,2018-12-05,19.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,364,
^VIX,2018-12-03,VIX,2018-12-05,20.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,1558,
^VIX,2018-12-03,VIX,2018-12-05,20.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,132,
^VIX,2018-12-03,VIX,2018-12-05,21.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,301,
^VIX,2018-12-03,VIX,2018-12-05,21.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0,0.0000,16.3600,16.3600,0.0000,16.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,0.0000,16.4400,16.4400,0.0000,39,
